turne,ano,cidade_fonte,data_show_fonte,musica,fonte_url
Driving USA Tour,2002,Nova York (Madison Square Garden),2002-04-27,C Moon,https://www.setlist.fm/setlist/paul-mccartney/2002/madison-square-garden-new-york-ny-53ddb731.html
Driving USA Tour,2002,Nova York (Madison Square Garden),2002-04-27,My Love,https://www.setlist.fm/setlist/paul-mccartney/2002/madison-square-garden-new-york-ny-53ddb731.html
Driving USA Tour,2002,Nova York (Madison Square Garden),2002-04-27,Can't Buy Me Love,https://www.setlist.fm/setlist/paul-mccartney/2002/madison-square-garden-new-york-ny-53ddb731.html
Driving USA Tour,2002,Nova York (Madison Square Garden),2002-04-27,Freedom,https://www.setlist.fm/setlist/paul-mccartney/2002/madison-square-garden-new-york-ny-53ddb731.html
Driving USA Tour,2002,Nova York (Madison Square Garden),2002-04-27,Live and Let Die,https://www.setlist.fm/setlist/paul-mccartney/2002/madison-square-garden-new-york-ny-53ddb731.html
Driving USA Tour,2002,Nova York (Madison Square Garden),2002-04-27,Let It Be,https://www.setlist.fm/setlist/paul-mccartney/2002/madison-square-garden-new-york-ny-53ddb731.html
Driving USA Tour,2002,Nova York (Madison Square Garden),2002-04-27,Hey Jude,https://www.setlist.fm/setlist/paul-mccartney/2002/madison-square-garden-new-york-ny-53ddb731.html
Driving USA Tour,2002,Nova York (Madison Square Garden),2002-04-27,The Long and Winding Road,https://www.setlist.fm/setlist/paul-mccartney/2002/madison-square-garden-new-york-ny-53ddb731.html
Driving USA Tour,2002,Nova York (Madison Square Garden),2002-04-27,Lady Madonna,https://www.setlist.fm/setlist/paul-mccartney/2002/madison-square-garden-new-york-ny-53ddb731.html
Driving USA Tour,2002,Nova York (Madison Square Garden),2002-04-27,I Saw Her Standing There,https://www.setlist.fm/setlist/paul-mccartney/2002/madison-square-garden-new-york-ny-53ddb731.html
Driving USA Tour,2002,Nova York (Madison Square Garden),2002-04-27,Yesterday,https://www.setlist.fm/setlist/paul-mccartney/2002/madison-square-garden-new-york-ny-53ddb731.html
Driving USA Tour,2002,Nova York (Madison Square Garden),2002-04-27,Sgt. Pepper's Lonely Hearts Club Band (Reprise),https://www.setlist.fm/setlist/paul-mccartney/2002/madison-square-garden-new-york-ny-53ddb731.html
Driving USA Tour,2002,Nova York (Madison Square Garden),2002-04-27,The End,https://www.setlist.fm/setlist/paul-mccartney/2002/madison-square-garden-new-york-ny-53ddb731.html
Back in the World Tour,2003,Paris (Bercy),2003-03-25,"Hello, Goodbye",https://www.setlist.fm/setlist/paul-mccartney/2003/palais-omnisports-de-paris-bercy-paris-france-3d0111b.html
Back in the World Tour,2003,Paris (Bercy),2003-03-25,Jet,https://www.setlist.fm/setlist/paul-mccartney/2003/palais-omnisports-de-paris-bercy-paris-france-3d0111b.html
Back in the World Tour,2003,Paris (Bercy),2003-03-25,All My Loving,https://www.setlist.fm/setlist/paul-mccartney/2003/palais-omnisports-de-paris-bercy-paris-france-3d0111b.html
Back in the World Tour,2003,Paris (Bercy),2003-03-25,Getting Better,https://www.setlist.fm/setlist/paul-mccartney/2003/palais-omnisports-de-paris-bercy-paris-france-3d0111b.html
Back in the World Tour,2003,Paris (Bercy),2003-03-25,Coming Up,https://www.setlist.fm/setlist/paul-mccartney/2003/palais-omnisports-de-paris-bercy-paris-france-3d0111b.html
Back in the World Tour,2003,Paris (Bercy),2003-03-25,Let Me Roll It,https://www.setlist.fm/setlist/paul-mccartney/2003/palais-omnisports-de-paris-bercy-paris-france-3d0111b.html
Back in the World Tour,2003,Paris (Bercy),2003-03-25,Lonely Road,https://www.setlist.fm/setlist/paul-mccartney/2003/palais-omnisports-de-paris-bercy-paris-france-3d0111b.html
Back in the World Tour,2003,Paris (Bercy),2003-03-25,Driving Rain,https://www.setlist.fm/setlist/paul-mccartney/2003/palais-omnisports-de-paris-bercy-paris-france-3d0111b.html
Back in the World Tour,2003,Paris (Bercy),2003-03-25,Your Loving Flame,https://www.setlist.fm/setlist/paul-mccartney/2003/palais-omnisports-de-paris-bercy-paris-france-3d0111b.html
Back in the World Tour,2003,Paris (Bercy),2003-03-25,Blackbird,https://www.setlist.fm/setlist/paul-mccartney/2003/palais-omnisports-de-paris-bercy-paris-france-3d0111b.html
Back in the World Tour,2003,Paris (Bercy),2003-03-25,Every Night,https://www.setlist.fm/setlist/paul-mccartney/2003/palais-omnisports-de-paris-bercy-paris-france-3d0111b.html
Back in the World Tour,2003,Paris (Bercy),2003-03-25,We Can Work It Out,https://www.setlist.fm/setlist/paul-mccartney/2003/palais-omnisports-de-paris-bercy-paris-france-3d0111b.html
